"Phi_0_","h","method","xi","pressuredrop","pressuredrop_ideal","relerror","runtime","FiltEST_runtime"
0.2,0.4,"K_KC",0.1,9.12092,9.3884,0.02849047761066857,0.2644,8.8828
0.2,0.4,"K_KC",0.2,8.73905,9.196800000000001,0.049772747042449626,0.23547,9.5391
0.2,0.4,"K_KC",0.3,8.4355,9.0052,0.06326344778572392,0.23267,10.703
0.2,0.4,"K_KC",0.4,8.198,8.813600000000001,0.0698466007079968,0.24365,10.352
0.2,0.4,"K_KC",0.5,8.01619,8.622,0.07026327998144281,0.24536,9.7266
0.2,0.4,"K_KC",0.6,7.88134,8.4304,0.06512858227367631,0.24951,10.32
0.2,0.4,"K_KC",0.7,7.78606,8.238800000000001,0.05495217750157804,0.27466,9.0391
0.2,0.4,"K_KC",0.8,7.7241,8.0472,0.0401506113927826,0.24426,10.031
0.2,0.4,"K_KC",0.9,7.6901,7.855600000000001,0.021067773308213328,0.24902,10.219
0.2,0.4,"K_KC",1.0,7.67952,7.664000000000001,0.0020250521920667447,0.2406,9.3594
0.2,0.4,"K_xi",0.0,9.59578,9.58,0.001647181628392428,0.23254,9.4531
0.2,0.4,"K_xi",0.1,9.40418,9.3884,0.0016807975799922733,0.23718,10.867
0.2,0.4,"K_xi",0.2,9.21258,9.196800000000001,0.0017158141962421124,0.23755,9.6484
0.2,0.4,"K_xi",0.3,9.02098,9.0052,0.0017523208812685405,0.23596,9.1328
0.2,0.4,"K_xi",0.4,8.82937,8.813600000000001,0.00178928020332212,0.23486,9.0391
0.2,0.4,"K_xi",0.5,8.63777,8.622,0.0018290419856181674,0.26758,8.5
0.2,0.4,"K_xi",0.6,8.44617,8.4304,0.0018706111216549438,0.23413,10.398
0.2,0.4,"K_xi",0.7,8.25457,8.238800000000001,0.0019141137058792616,0.23779,10.32
0.2,0.4,"K_xi",0.8,8.06297,8.0472,0.0019596878417337507,0.23193,9.6719
0.2,0.4,"K_xi",0.9,7.87137,7.855600000000001,0.002007485106166168,0.23877,10.063
0.2,0.4,"K_xi",1.0,7.67952,7.664000000000001,0.0020250521920667447,0.2207,9.6094
0.2,0.4,"midpoint",0.0,9.59578,9.58,0.001647181628392428,0.22473,9.6016
0.2,0.4,"midpoint",0.1,9.59578,9.3884,0.022088960845298322,0.23889,9.25
0.2,0.4,"midpoint",0.2,9.59578,9.196800000000001,0.04338248086290863,0.23608,9.1094
0.2,0.4,"midpoint",0.3,9.59578,9.0052,0.06558210811531107,0.24219,8.7969
0.2,0.4,"midpoint",0.4,9.59578,8.813600000000001,0.08874693655260035,0.27002,9.9375
0.2,0.4,"midpoint",0.5,7.67952,8.622,0.1093110647181628,0.24146,10.172
0.2,0.4,"midpoint",0.6,7.67952,8.4304,0.0890681343708484,0.24524,9.5703
0.2,0.4,"midpoint",0.7,7.67952,8.238800000000001,0.06788367237947286,0.23901,9.3984
0.2,0.4,"midpoint",0.8,7.67952,8.0472,0.0456904264837459,0.23914,9.8984
0.2,0.4,"midpoint",0.9,7.67952,7.855600000000001,0.02241458322725198,0.23206,9.7578
0.2,0.4,"midpoint",1.0,7.67952,7.664000000000001,0.0020250521920667447,0.21423,9.5781
