Rotated Filter (dFilter = 1.6, K_0 = 0.0001) for fluid with viscosity = 0.0479, density = 866.2
====================
| Row  | Phi_0_ | phi | theta | h   | method     | pressuredrop | runtime | FiltEST_runtime |
| 58   | 0.1    | 0   | 60    | 0.4 | "fill"     | 9.27892      | 0.26855 | 23.984          |
| 59   | 0.1    | 0   | 60    | 0.4 | "remove"   | 4.55639      | 0.32129 | 22.938          |
| 60   | 0.1    | 0   | 60    | 0.4 | "midpoint" | 6.74708      | 0.31299 | 23.547          |
| 61   | 0.1    | 0   | 60    | 0.1 | "fill"     | 7.39672      | 14.242  | 370.5           |
| 62   | 0.1    | 0   | 60    | 0.1 | "remove"   | 6.26084      | 14.672  | 386.25          |
| 63   | 0.1    | 0   | 60    | 0.1 | "midpoint" | 6.80924      | 13.945  | 378.5           |
| 64   | 0.1    | 0   | 55    | 0.4 | "K_JJ"     | 6.25566      | 0.31299 | 22.875          |
| 65   | 0.1    | 0   | 55    | 0.4 | "K_KC"     | 5.98888      | 0.31787 | 21.844          |
| 66   | 0.1    | 0   | 55    | 0.4 | "K_xi"     | 6.64022      | 0.29932 | 21.703          |
| 67   | 0.1    | 0   | 55    | 0.4 | "fill"     | 8.98424      | 0.29785 | 22.344          |
| 68   | 0.1    | 0   | 55    | 0.4 | "remove"   | 4.19352      | 0.30298 | 24.766          |
| 69   | 0.1    | 0   | 55    | 0.4 | "midpoint" | 6.42013      | 0.60205 | 23.344          |
| 70   | 0.1    | 0   | 55    | 0.1 | "fill"     | 7.11947      | 13.547  | 356.25          |
| 71   | 0.1    | 0   | 55    | 0.1 | "remove"   | 5.96392      | 14.117  | 367.0           |
| 72   | 0.1    | 0   | 55    | 0.1 | "midpoint" | 6.55662      | 14.25   | 368.5           |
| 73   | 0.1    | 0   | 50    | 0.4 | "K_JJ"     | 5.93994      | 0.41968 | 22.781          |
| 74   | 0.1    | 0   | 50    | 0.4 | "K_KC"     | 5.68052      | 0.32397 | 24.422          |
| 75   | 0.1    | 0   | 50    | 0.4 | "K_xi"     | 6.31363      | 0.31909 | 24.203          |
| 76   | 0.1    | 0   | 50    | 0.4 | "fill"     | 8.55649      | 0.32275 | 22.563          |
| 77   | 0.1    | 0   | 50    | 0.4 | "remove"   | 4.06724      | 0.32129 | 23.703          |
| 78   | 0.1    | 0   | 50    | 0.4 | "midpoint" | 6.24803      | 0.34497 | 24.672          |
| 79   | 0.1    | 0   | 50    | 0.1 | "fill"     | 6.73755      | 13.984  | 365.5           |
| 80   | 0.1    | 0   | 50    | 0.1 | "remove"   | 5.61843      | 14.594  | 372.5           |
| 81   | 0.1    | 0   | 50    | 0.1 | "midpoint" | 6.17362      | 14.742  | 369.25          |
| 82   | 0.1    | 0   | 45    | 0.4 | "K_JJ"     | 5.57367      | 0.32275 | 20.594          |
| 83   | 0.1    | 0   | 45    | 0.4 | "K_KC"     | 5.33605      | 0.32788 | 24.453          |
| 84   | 0.1    | 0   | 45    | 0.4 | "K_xi"     | 5.93256      | 0.34961 | 23.938          |
| 85   | 0.1    | 0   | 45    | 0.4 | "fill"     | 7.4193       | 0.33887 | 25.688          |
| 86   | 0.1    | 0   | 45    | 0.4 | "remove"   | 3.06065      | 0.30908 | 23.922          |
| 87   | 0.1    | 0   | 45    | 0.4 | "midpoint" | 5.19049      | 0.31128 | 21.844          |
| 88   | 0.1    | 0   | 45    | 0.1 | "fill"     | 6.47207      | 14.039  | 147.38          |
| 89   | 0.1    | 0   | 45    | 0.1 | "remove"   | 5.37634      | 14.055  | 143.88          |
| 90   | 0.1    | 0   | 45    | 0.1 | "midpoint" | 5.92098      | 14.43   | 155.25          |
| 91   | 0.1    | 0   | 40    | 0.4 | "K_JJ"     | 5.16604      | 0.33789 | 23.375          |
| 92   | 0.1    | 0   | 40    | 0.4 | "K_KC"     | 4.93876      | 0.31494 | 22.75           |
| 93   | 0.1    | 0   | 40    | 0.4 | "K_xi"     | 5.49819      | 0.32104 | 17.016          |
| 94   | 0.1    | 0   | 40    | 0.4 | "fill"     | 7.50881      | 0.36084 | 23.141          |
| 95   | 0.1    | 0   | 40    | 0.4 | "remove"   | 3.51842      | 0.33887 | 24.078          |
| 96   | 0.1    | 0   | 40    | 0.4 | "midpoint" | 5.47226      | 0.31616 | 24.313          |
| 97   | 0.1    | 0   | 40    | 0.1 | "fill"     | 5.82011      | 13.719  | 358.25          |
| 98   | 0.1    | 0   | 40    | 0.1 | "remove"   | 4.85557      | 14.578  | 374.75          |
| 99   | 0.1    | 0   | 40    | 0.1 | "midpoint" | 5.33501      | 14.688  | 372.25          |
| 100  | 0.1    | 10  | 90    | 0.4 | "K_JJ"     | 7.12552      | 0.27734 | 9.0078          |
| 101  | 0.1    | 10  | 90    | 0.4 | "K_KC"     | 6.79555      | 0.29932 | 9.8516          |
| 102  | 0.1    | 10  | 90    | 0.4 | "K_xi"     | 7.58335      | 0.27734 | 9.6484          |
| 103  | 0.1    | 10  | 90    | 0.4 | "fill"     | 9.55984      | 0.30786 | 24.797          |
| 104  | 0.1    | 10  | 90    | 0.4 | "remove"   | 5.24581      | 0.30615 | 24.266          |
| 105  | 0.1    | 10  | 90    | 0.4 | "midpoint" | 7.42385      | 0.28247 | 24.953          |
| 106  | 0.1    | 10  | 90    | 0.1 | "fill"     | 8.06016      | 14.086  | 389.5           |
| 107  | 0.1    | 10  | 90    | 0.1 | "remove"   | 7.01855      | 14.156  | 364.5           |
| 108  | 0.1    | 10  | 90    | 0.1 | "midpoint" | 7.56306      | 13.828  | 362.75          |
| 109  | 0.1    | 10  | 85    | 0.4 | "K_JJ"     | 7.12646      | 0.30884 | 9.3203          |
| 110  | 0.1    | 10  | 85    | 0.4 | "K_KC"     | 6.81671      | 0.3042  | 9.75            |
| 111  | 0.1    | 10  | 85    | 0.4 | "K_xi"     | 7.55596      | 0.27686 | 8.5469          |
| 112  | 0.1    | 10  | 85    | 0.4 | "fill"     | 9.52525      | 0.302   | 23.188          |
| 113  | 0.1    | 10  | 85    | 0.4 | "remove"   | 5.14954      | 0.27271 | 24.719          |
| 114  | 0.1    | 10  | 85    | 0.4 | "midpoint" | 7.33698      | 0.30493 | 23.375          |
| 115  | 0.1    | 10  | 85    | 0.1 | "fill"     | 8.06024      | 13.727  | 379.25          |
| 116  | 0.1    | 10  | 85    | 0.1 | "remove"   | 6.96753      | 12.586  | 363.5           |
| 117  | 0.1    | 10  | 85    | 0.1 | "midpoint" | 7.51382      | 13.477  | 363.75          |
| 118  | 0.1    | 10  | 80    | 0.4 | "K_JJ"     | 7.06098      | 0.30884 | 23.797          |
| 119  | 0.1    | 10  | 80    | 0.4 | "K_KC"     | 6.7539       | 0.2915  | 24.766          |
| 120  | 0.1    | 10  | 80    | 0.4 | "K_xi"     | 7.48884      | 0.27466 | 25.359          |
| 121  | 0.1    | 10  | 80    | 0.4 | "fill"     | 9.56002      | 0.30347 | 24.109          |
| 122  | 0.1    | 10  | 80    | 0.4 | "remove"   | 4.99038      | 0.3042  | 23.031          |
| 123  | 0.1    | 10  | 80    | 0.4 | "midpoint" | 7.28901      | 0.25513 | 24.234          |
| 124  | 0.1    | 10  | 80    | 0.1 | "fill"     | 8.01087      | 13.094  | 358.75          |
