Rotated Filter (dFilter = 1.6, K_0 = 0.0001) for fluid with viscosity = 0.0479, density = 866.2
====================
| Row  | Phi_0_ | phi | theta | h   | method     | pressuredrop | runtime | FiltEST_runtime |
| 256  | 0.1    | 20  | 60    | 0.4 | "fill"     | 8.88842      | 0.35181 | 22.859          |
| 257  | 0.1    | 20  | 60    | 0.4 | "remove"   | 4.05086      | 0.32324 | 22.797          |
| 258  | 0.1    | 20  | 60    | 0.4 | "midpoint" | 6.45334      | 0.30957 | 20.547          |
| 259  | 0.1    | 20  | 60    | 0.1 | "fill"     | 7.08852      | 13.586  | 363.0           |
| 260  | 0.1    | 20  | 60    | 0.1 | "remove"   | 5.87906      | 14.43   | 376.0           |
| 261  | 0.1    | 20  | 60    | 0.1 | "midpoint" | 6.48141      | 14.297  | 380.25          |
| 262  | 0.1    | 20  | 55    | 0.4 | "K_JJ"     | 5.94218      | 0.33374 | 23.5            |
| 263  | 0.1    | 20  | 55    | 0.4 | "K_KC"     | 5.68553      | 0.32886 | 24.281          |
| 264  | 0.1    | 20  | 55    | 0.4 | "K_xi"     | 6.31428      | 0.34399 | 23.813          |
| 265  | 0.1    | 20  | 55    | 0.4 | "fill"     | 8.57376      | 0.33569 | 24.484          |
| 266  | 0.1    | 20  | 55    | 0.4 | "remove"   | 3.86148      | 0.33472 | 22.313          |
| 267  | 0.1    | 20  | 55    | 0.4 | "midpoint" | 6.1789       | 0.36548 | 22.734          |
| 268  | 0.1    | 20  | 55    | 0.1 | "fill"     | 6.78556      | 14.469  | 367.0           |
| 269  | 0.1    | 20  | 55    | 0.1 | "remove"   | 5.60856      | 14.961  | 379.75          |
| 270  | 0.1    | 20  | 55    | 0.1 | "midpoint" | 6.19535      | 14.367  | 366.75          |
| 271  | 0.1    | 20  | 50    | 0.4 | "K_JJ"     | 5.63571      | 0.34424 | 22.859          |
| 272  | 0.1    | 20  | 50    | 0.4 | "K_KC"     | 5.39032      | 0.37476 | 22.75           |
| 273  | 0.1    | 20  | 50    | 0.4 | "K_xi"     | 5.99197      | 0.34082 | 24.156          |
| 274  | 0.1    | 20  | 50    | 0.4 | "fill"     | 8.19601      | 0.33105 | 23.547          |
| 275  | 0.1    | 20  | 50    | 0.4 | "remove"   | 3.64733      | 0.45435 | 23.156          |
| 276  | 0.1    | 20  | 50    | 0.4 | "midpoint" | 5.87475      | 0.48193 | 22.719          |
| 277  | 0.1    | 20  | 50    | 0.1 | "fill"     | 6.42676      | 14.602  | 396.25          |
| 278  | 0.1    | 20  | 50    | 0.1 | "remove"   | 5.30174      | 14.758  | 367.25          |
| 279  | 0.1    | 20  | 50    | 0.1 | "midpoint" | 5.86128      | 14.281  | 373.75          |
| 280  | 0.1    | 20  | 45    | 0.4 | "K_JJ"     | 5.28282      | 0.354   | 23.219          |
| 281  | 0.1    | 20  | 45    | 0.4 | "K_KC"     | 5.0494       | 0.39722 | 22.344          |
| 282  | 0.1    | 20  | 45    | 0.4 | "K_xi"     | 5.62119      | 0.36792 | 23.203          |
| 283  | 0.1    | 20  | 45    | 0.4 | "fill"     | 7.7353       | 0.37744 | 21.125          |
| 284  | 0.1    | 20  | 45    | 0.4 | "remove"   | 3.40798      | 0.3457  | 26.375          |
| 285  | 0.1    | 20  | 45    | 0.4 | "midpoint" | 5.51421      | 0.35986 | 23.938          |
| 286  | 0.1    | 20  | 45    | 0.1 | "fill"     | 6.01701      | 15.141  | 350.25          |
| 287  | 0.1    | 20  | 45    | 0.1 | "remove"   | 4.95649      | 14.516  | 349.25          |
| 288  | 0.1    | 20  | 45    | 0.1 | "midpoint" | 5.48306      | 15.18   | 361.5           |
| 289  | 0.1    | 20  | 40    | 0.4 | "K_JJ"     | 4.88348      | 0.35962 | 21.375          |
| 290  | 0.1    | 20  | 40    | 0.4 | "K_KC"     | 4.66383      | 0.38086 | 22.453          |
| 291  | 0.1    | 20  | 40    | 0.4 | "K_xi"     | 5.20136      | 0.34668 | 22.016          |
| 292  | 0.1    | 20  | 40    | 0.4 | "fill"     | 7.11898      | 0.37793 | 22.359          |
| 293  | 0.1    | 20  | 40    | 0.4 | "remove"   | 3.15088      | 0.34424 | 24.656          |
| 294  | 0.1    | 20  | 40    | 0.4 | "midpoint" | 5.08388      | 0.39526 | 22.453          |
| 295  | 0.1    | 20  | 40    | 0.1 | "fill"     | 5.54419      | 14.891  | 354.25          |
| 296  | 0.1    | 20  | 40    | 0.1 | "remove"   | 4.56743      | 14.898  | 341.5           |
| 297  | 0.1    | 20  | 40    | 0.1 | "midpoint" | 5.05286      | 14.188  | 361.25          |
| 298  | 0.1    | 30  | 90    | 0.4 | "K_JJ"     | 6.52113      | 0.3064  | 23.922          |
| 299  | 0.1    | 30  | 90    | 0.4 | "K_KC"     | 6.24599      | 0.29663 | 22.266          |
| 300  | 0.1    | 30  | 90    | 0.4 | "K_xi"     | 6.91682      | 0.29907 | 24.063          |
| 301  | 0.1    | 30  | 90    | 0.4 | "fill"     | 9.27892      | 0.26855 | 22.875          |
| 302  | 0.1    | 30  | 90    | 0.4 | "remove"   | 4.55639      | 0.29004 | 21.266          |
| 303  | 0.1    | 30  | 90    | 0.4 | "midpoint" | 6.74708      | 0.31079 | 24.031          |
| 304  | 0.1    | 30  | 90    | 0.1 | "fill"     | 7.39672      | 12.828  | 353.75          |
| 305  | 0.1    | 30  | 90    | 0.1 | "remove"   | 6.26084      | 14.031  | 358.75          |
| 306  | 0.1    | 30  | 90    | 0.1 | "midpoint" | 6.80924      | 13.594  | 362.25          |
| 307  | 0.1    | 30  | 85    | 0.4 | "K_JJ"     | 6.49671      | 0.31567 | 24.563          |
| 308  | 0.1    | 30  | 85    | 0.4 | "K_KC"     | 6.21887      | 0.30566 | 24.797          |
| 309  | 0.1    | 30  | 85    | 0.4 | "K_xi"     | 6.89726      | 0.31665 | 24.156          |
| 310  | 0.1    | 30  | 85    | 0.4 | "fill"     | 9.11338      | 0.3103  | 23.625          |
| 311  | 0.1    | 30  | 85    | 0.4 | "remove"   | 4.4501       | 0.30957 | 23.109          |
| 312  | 0.1    | 30  | 85    | 0.4 | "midpoint" | 6.72093      | 0.27759 | 23.047          |
| 313  | 0.1    | 30  | 85    | 0.1 | "fill"     | 7.38349      | 13.633  | 363.75          |
| 314  | 0.1    | 30  | 85    | 0.1 | "remove"   | 6.21826      | 14.078  | 373.25          |
| 315  | 0.1    | 30  | 85    | 0.1 | "midpoint" | 6.79934      | 14.164  | 387.25          |
| 316  | 0.1    | 30  | 80    | 0.4 | "K_JJ"     | 6.43499      | 0.34009 | 23.875          |
| 317  | 0.1    | 30  | 80    | 0.4 | "K_KC"     | 6.15866      | 0.33301 | 23.375          |
| 318  | 0.1    | 30  | 80    | 0.4 | "K_xi"     | 6.83254      | 0.32983 | 22.656          |
| 319  | 0.1    | 30  | 80    | 0.4 | "fill"     | 9.11701      | 0.32642 | 23.313          |
| 320  | 0.1    | 30  | 80    | 0.4 | "remove"   | 4.33646      | 0.33179 | 25.297          |
| 321  | 0.1    | 30  | 80    | 0.4 | "midpoint" | 6.69798      | 0.34106 | 23.609          |
| 322  | 0.1    | 30  | 80    | 0.1 | "fill"     | 7.33283      | 14.688  | 368.75          |
| 323  | 0.1    | 30  | 80    | 0.1 | "remove"   | 6.14132      | 13.398  | 353.75          |
| 324  | 0.1    | 30  | 80    | 0.1 | "midpoint" | 6.73612      | 13.719  | 372.0           |
| 325  | 0.1    | 30  | 75    | 0.4 | "K_JJ"     | 6.33662      | 0.44873 | 22.016          |
| 326  | 0.1    | 30  | 75    | 0.4 | "K_KC"     | 6.06438      | 0.5     | 25.016          |
| 327  | 0.1    | 30  | 75    | 0.4 | "K_xi"     | 6.72912      | 0.31958 | 23.547          |
| 328  | 0.1    | 30  | 75    | 0.4 | "fill"     | 9.04244      | 0.32007 | 22.031          |
| 329  | 0.1    | 30  | 75    | 0.4 | "remove"   | 4.16857      | 0.32202 | 23.938          |
| 330  | 0.1    | 30  | 75    | 0.4 | "midpoint" | 6.58062      | 0.30225 | 22.625          |
| 331  | 0.1    | 30  | 75    | 0.1 | "fill"     | 7.23784      | 14.102  | 352.25          |
| 332  | 0.1    | 30  | 75    | 0.1 | "remove"   | 6.0263       | 14.297  | 360.25          |
| 333  | 0.1    | 30  | 75    | 0.1 | "midpoint" | 6.62987      | 14.25   | 359.0           |
| 334  | 0.1    | 30  | 70    | 0.4 | "K_JJ"     | 6.20146      | 0.33496 | 22.766          |
| 335  | 0.1    | 30  | 70    | 0.4 | "K_KC"     | 5.93544      | 0.32739 | 22.438          |
| 336  | 0.1    | 30  | 70    | 0.4 | "K_xi"     | 6.5866       | 0.34814 | 23.313          |
| 337  | 0.1    | 30  | 70    | 0.4 | "fill"     | 8.91384      | 0.31885 | 22.969          |
| 338  | 0.1    | 30  | 70    | 0.4 | "remove"   | 4.04654      | 0.3252  | 24.766          |
| 339  | 0.1    | 30  | 70    | 0.4 | "midpoint" | 6.42755      | 0.33521 | 22.375          |
| 340  | 0.1    | 30  | 70    | 0.1 | "fill"     | 7.09241      | 14.133  | 370.0           |
| 341  | 0.1    | 30  | 70    | 0.1 | "remove"   | 5.87542      | 14.969  | 364.5           |
| 342  | 0.1    | 30  | 70    | 0.1 | "midpoint" | 6.48119      | 14.102  | 354.5           |
| 343  | 0.1    | 30  | 65    | 0.4 | "K_JJ"     | 6.02777      | 0.34717 | 22.625          |
| 344  | 0.1    | 30  | 65    | 0.4 | "K_KC"     | 5.76926      | 0.33032 | 24.203          |
| 345  | 0.1    | 30  | 65    | 0.4 | "K_xi"     | 6.40345      | 0.35913 | 24.094          |
| 346  | 0.1    | 30  | 65    | 0.4 | "fill"     | 8.76223      | 0.33179 | 19.844          |
| 347  | 0.1    | 30  | 65    | 0.4 | "remove"   | 3.90333      | 0.32031 | 22.219          |
| 348  | 0.1    | 30  | 65    | 0.4 | "midpoint" | 6.26938      | 0.33105 | 23.375          |
| 349  | 0.1    | 30  | 65    | 0.1 | "fill"     | 6.89969      | 14.969  | 364.25          |
| 350  | 0.1    | 30  | 65    | 0.1 | "remove"   | 5.68954      | 14.281  | 380.0           |
| 351  | 0.1    | 30  | 65    | 0.1 | "midpoint" | 6.29419      | 15.391  | 386.25          |
| 352  | 0.1    | 30  | 60    | 0.4 | "K_JJ"     | 5.8074       | 0.33862 | 23.078          |
| 353  | 0.1    | 30  | 60    | 0.4 | "K_KC"     | 5.55643      | 0.40869 | 24.672          |
| 354  | 0.1    | 30  | 60    | 0.4 | "K_xi"     | 6.17248      | 0.35596 | 24.922          |
| 355  | 0.1    | 30  | 60    | 0.4 | "fill"     | 8.50272      | 0.34033 | 23.313          |
| 356  | 0.1    | 30  | 60    | 0.4 | "remove"   | 3.74394      | 0.33984 | 23.266          |
| 357  | 0.1    | 30  | 60    | 0.4 | "midpoint" | 6.07989      | 0.35522 | 22.391          |
| 358  | 0.1    | 30  | 60    | 0.1 | "fill"     | 6.6543       | 15.414  | 376.0           |
| 359  | 0.1    | 30  | 60    | 0.1 | "remove"   | 5.4696       | 14.984  | 375.0           |
| 360  | 0.1    | 30  | 60    | 0.1 | "midpoint" | 6.06013      | 14.922  | 388.0           |
| 361  | 0.1    | 30  | 55    | 0.4 | "K_JJ"     | 5.55919      | 0.34595 | 25.203          |
| 362  | 0.1    | 30  | 55    | 0.4 | "K_KC"     | 5.31831      | 0.35229 | 23.406          |
| 363  | 0.1    | 30  | 55    | 0.4 | "K_xi"     | 5.91014      | 0.38623 | 22.438          |
| 364  | 0.1    | 30  | 55    | 0.4 | "fill"     | 8.16671      | 0.35181 | 24.5            |
| 365  | 0.1    | 30  | 55    | 0.4 | "remove"   | 3.51415      | 0.35254 | 25.188          |
| 366  | 0.1    | 30  | 55    | 0.4 | "midpoint" | 5.81554      | 0.38843 | 25.25           |
| 367  | 0.1    | 30  | 55    | 0.1 | "fill"     | 6.35783      | 13.969  | 371.25          |
| 368  | 0.1    | 30  | 55    | 0.1 | "remove"   | 5.20954      | 14.844  | 377.5           |
| 369  | 0.1    | 30  | 55    | 0.1 | "midpoint" | 5.78091      | 15.234  | 370.75          |
| 370  | 0.1    | 30  | 50    | 0.4 | "K_JJ"     | 5.26261      | 0.3894  | 23.984          |
| 371  | 0.1    | 30  | 50    | 0.4 | "K_KC"     | 5.03278      | 0.39038 | 20.391          |
| 372  | 0.1    | 30  | 50    | 0.4 | "K_xi"     | 5.59807      | 0.34473 | 22.875          |
| 373  | 0.1    | 30  | 50    | 0.4 | "fill"     | 7.73247      | 0.37036 | 22.422          |
| 374  | 0.1    | 30  | 50    | 0.4 | "remove"   | 3.35742      | 0.3396  | 23.797          |
| 375  | 0.1    | 30  | 50    | 0.4 | "midpoint" | 5.49193      | 0.375   | 23.063          |
| 376  | 0.1    | 30  | 50    | 0.1 | "fill"     | 6.01626      | 14.977  | 361.5           |
| 377  | 0.1    | 30  | 50    | 0.1 | "remove"   | 4.92236      | 14.555  | 370.5           |
| 378  | 0.1    | 30  | 50    | 0.1 | "midpoint" | 5.46587      | 14.477  | 363.25          |
| 379  | 0.1    | 30  | 45    | 0.4 | "K_JJ"     | 4.92382      | 0.36768 | 21.328          |
| 380  | 0.1    | 30  | 45    | 0.4 | "K_KC"     | 4.70552      | 0.33057 | 20.391          |
| 381  | 0.1    | 30  | 45    | 0.4 | "K_xi"     | 5.24182      | 0.36621 | 22.0            |
| 382  | 0.1    | 30  | 45    | 0.4 | "fill"     | 7.2636       | 0.38257 | 21.516          |
| 383  | 0.1    | 30  | 45    | 0.4 | "remove"   | 3.15113      | 0.35571 | 22.172          |
| 384  | 0.1    | 30  | 45    | 0.4 | "midpoint" | 5.14503      | 0.38794 | 23.156          |
| 385  | 0.1    | 30  | 45    | 0.1 | "fill"     | 5.61599      | 14.844  | 358.75          |
| 386  | 0.1    | 30  | 45    | 0.1 | "remove"   | 4.59352      | 14.836  | 362.75          |
| 387  | 0.1    | 30  | 45    | 0.1 | "midpoint" | 5.10233      | 14.906  | 366.0           |
| 388  | 0.1    | 30  | 40    | 0.4 | "K_JJ"     | 4.54294      | 0.40771 | 24.203          |
| 389  | 0.1    | 30  | 40    | 0.4 | "K_KC"     | 4.33736      | 0.37451 | 25.766          |
| 390  | 0.1    | 30  | 40    | 0.4 | "K_xi"     | 4.84098      | 0.40186 | 22.578          |
| 391  | 0.1    | 30  | 40    | 0.4 | "fill"     | 6.68141      | 0.38184 | 21.703          |
| 392  | 0.1    | 30  | 40    | 0.4 | "remove"   | 2.87673      | 0.42578 | 23.625          |
| 393  | 0.1    | 30  | 40    | 0.4 | "midpoint" | 4.72348      | 0.37744 | 23.188          |
| 394  | 0.1    | 30  | 40    | 0.1 | "fill"     | 5.16856      | 15.063  | 379.0           |
| 395  | 0.1    | 30  | 40    | 0.1 | "remove"   | 4.22835      | 15.023  | 380.0           |
| 396  | 0.1    | 30  | 40    | 0.1 | "midpoint" | 4.6937       | 15.789  | 373.25          |
| 397  | 0.1    | 40  | 90    | 0.4 | "K_JJ"     | 5.93994      | 0.34546 | 25.688          |
| 398  | 0.1    | 40  | 90    | 0.4 | "K_KC"     | 5.68052      | 0.32813 | 24.375          |
| 399  | 0.1    | 40  | 90    | 0.4 | "K_xi"     | 6.31363      | 0.32471 | 23.469          |
| 400  | 0.1    | 40  | 90    | 0.4 | "fill"     | 8.55649      | 0.32495 | 23.672          |
| 401  | 0.1    | 40  | 90    | 0.4 | "remove"   | 4.06724      | 0.32593 | 24.547          |
| 402  | 0.1    | 40  | 90    | 0.4 | "midpoint" | 6.24803      | 0.32153 | 24.047          |
| 403  | 0.1    | 40  | 90    | 0.1 | "fill"     | 6.73755      | 14.359  | 385.25          |
| 404  | 0.1    | 40  | 90    | 0.1 | "remove"   | 5.61843      | 14.727  | 384.75          |
| 405  | 0.1    | 40  | 90    | 0.1 | "midpoint" | 6.17362      | 14.461  | 399.25          |
| 406  | 0.1    | 40  | 85    | 0.4 | "K_JJ"     | 5.91945      | 0.33325 | 23.953          |
| 407  | 0.1    | 40  | 85    | 0.4 | "K_KC"     | 5.66329      | 0.34131 | 24.531          |
| 408  | 0.1    | 40  | 85    | 0.4 | "K_xi"     | 6.29071      | 0.33032 | 21.891          |
| 409  | 0.1    | 40  | 85    | 0.4 | "fill"     | 8.41057      | 0.34814 | 26.063          |
| 410  | 0.1    | 40  | 85    | 0.4 | "remove"   | 3.94755      | 0.3501  | 23.203          |
| 411  | 0.1    | 40  | 85    | 0.4 | "midpoint" | 6.15615      | 0.33618 | 23.344          |
| 412  | 0.1    | 40  | 85    | 0.1 | "fill"     | 6.71669      | 14.68   | 364.5           |
| 413  | 0.1    | 40  | 85    | 0.1 | "remove"   | 5.60802      | 14.211  | 355.75          |
| 414  | 0.1    | 40  | 85    | 0.1 | "midpoint" | 6.16008      | 14.523  | 386.0           |
| 415  | 0.1    | 40  | 80    | 0.4 | "K_JJ"     | 5.8582       | 0.35474 | 22.563          |
| 416  | 0.1    | 40  | 80    | 0.4 | "K_KC"     | 5.60367      | 0.34473 | 23.797          |
| 417  | 0.1    | 40  | 80    | 0.4 | "K_xi"     | 6.22626      | 0.3335  | 24.328          |
| 418  | 0.1    | 40  | 80    | 0.4 | "fill"     | 8.37259      | 0.33838 | 23.266          |
| 419  | 0.1    | 40  | 80    | 0.4 | "remove"   | 3.84492      | 0.33936 | 21.016          |
| 420  | 0.1    | 40  | 80    | 0.4 | "midpoint" | 6.06593      | 0.32227 | 22.313          |
| 421  | 0.1    | 40  | 80    | 0.1 | "fill"     | 6.66399      | 13.352  | 365.5           |
| 422  | 0.1    | 40  | 80    | 0.1 | "remove"   | 5.5333       | 14.992  | 377.25          |
| 423  | 0.1    | 40  | 80    | 0.1 | "midpoint" | 6.0965       | 14.188  | 363.5           |
| 424  | 0.1    | 40  | 75    | 0.4 | "K_JJ"     | 5.7613       | 0.35229 | 23.531          |
| 425  | 0.1    | 40  | 75    | 0.4 | "K_KC"     | 5.51091      | 0.33936 | 22.906          |
| 426  | 0.1    | 40  | 75    | 0.4 | "K_xi"     | 6.12418      | 0.38965 | 22.875          |
| 427  | 0.1    | 40  | 75    | 0.4 | "fill"     | 8.33748      | 0.3457  | 22.516          |
| 428  | 0.1    | 40  | 75    | 0.4 | "remove"   | 3.72682      | 0.33765 | 23.484          |
| 429  | 0.1    | 40  | 75    | 0.4 | "midpoint" | 5.99232      | 0.36914 | 22.391          |
| 430  | 0.1    | 40  | 75    | 0.1 | "fill"     | 6.57375      | 14.555  | 373.5           |
| 431  | 0.1    | 40  | 75    | 0.1 | "remove"   | 5.42835      | 15.234  | 375.5           |
| 432  | 0.1    | 40  | 75    | 0.1 | "midpoint" | 5.99701      | 14.68   | 371.75          |
| 433  | 0.1    | 40  | 70    | 0.4 | "K_JJ"     | 5.62924      | 0.33496 | 23.188          |
| 434  | 0.1    | 40  | 70    | 0.4 | "K_KC"     | 5.38484      | 0.37573 | 23.813          |
| 435  | 0.1    | 40  | 70    | 0.4 | "K_xi"     | 5.98474      | 0.33203 | 23.625          |
| 436  | 0.1    | 40  | 70    | 0.4 | "fill"     | 8.22886      | 0.3479  | 20.828          |
| 437  | 0.1    | 40  | 70    | 0.4 | "remove"   | 3.59706      | 0.34033 | 23.547          |
| 438  | 0.1    | 40  | 70    | 0.4 | "midpoint" | 5.87155      | 0.39526 | 24.953          |
| 439  | 0.1    | 40  | 70    | 0.1 | "fill"     | 6.43439      | 14.953  | 391.75          |
| 440  | 0.1    | 40  | 70    | 0.1 | "remove"   | 5.28812      | 14.93   | 370.5           |
| 441  | 0.1    | 40  | 70    | 0.1 | "midpoint" | 5.85815      | 14.672  | 380.25          |
| 442  | 0.1    | 40  | 65    | 0.4 | "K_JJ"     | 5.46133      | 0.35229 | 23.203          |
| 443  | 0.1    | 40  | 65    | 0.4 | "K_KC"     | 5.22428      | 0.35425 | 23.766          |
| 444  | 0.1    | 40  | 65    | 0.4 | "K_xi"     | 5.80726      | 0.38696 | 25.734          |
| 445  | 0.1    | 40  | 65    | 0.4 | "fill"     | 8.0353       | 0.34839 | 24.063          |
| 446  | 0.1    | 40  | 65    | 0.4 | "remove"   | 3.46032      | 0.37061 | 22.75           |
| 447  | 0.1    | 40  | 65    | 0.4 | "midpoint" | 5.69644      | 0.39478 | 23.984          |
| 448  | 0.1    | 40  | 65    | 0.1 | "fill"     | 6.24477      | 15.055  | 366.5           |
| 449  | 0.1    | 40  | 65    | 0.1 | "remove"   | 5.11094      | 14.898  | 383.5           |
| 450  | 0.1    | 40  | 65    | 0.1 | "midpoint" | 5.67496      | 14.609  | 363.75          |
| 451  | 0.1    | 40  | 60    | 0.4 | "K_JJ"     | 5.2566       | 0.36938 | 21.719          |
| 452  | 0.1    | 40  | 60    | 0.4 | "K_KC"     | 5.02774      | 0.33496 | 23.594          |
| 453  | 0.1    | 40  | 60    | 0.4 | "K_xi"     | 5.59105      | 0.34424 | 22.375          |
| 454  | 0.1    | 40  | 60    | 0.4 | "fill"     | 7.80021      | 0.39282 | 23.516          |
| 455  | 0.1    | 40  | 60    | 0.4 | "remove"   | 3.31143      | 0.35645 | 22.828          |
| 456  | 0.1    | 40  | 60    | 0.4 | "midpoint" | 5.48406      | 0.40137 | 23.984          |
| 457  | 0.1    | 40  | 60    | 0.1 | "fill"     | 6.01304      | 15.445  | 398.75          |
| 458  | 0.1    | 40  | 60    | 0.1 | "remove"   | 4.90695      | 15.133  | 383.25          |
| 459  | 0.1    | 40  | 60    | 0.1 | "midpoint" | 5.4561       | 15.867  | 369.75          |
| 460  | 0.1    | 40  | 55    | 0.4 | "K_JJ"     | 5.01537      | 0.41455 | 21.797          |
| 461  | 0.1    | 40  | 55    | 0.4 | "K_KC"     | 4.7955       | 0.40747 | 24.594          |
| 462  | 0.1    | 40  | 55    | 0.4 | "K_xi"     | 5.33642      | 0.37207 | 22.922          |
| 463  | 0.1    | 40  | 55    | 0.4 | "fill"     | 7.45038      | 0.40918 | 24.813          |
| 464  | 0.1    | 40  | 55    | 0.4 | "remove"   | 3.15559      | 0.3623  | 24.516          |
| 465  | 0.1    | 40  | 55    | 0.4 | "midpoint" | 5.25006      | 0.39526 | 21.688          |
| 466  | 0.1    | 40  | 55    | 0.1 | "fill"     | 5.73754      | 15.008  | 371.75          |
| 467  | 0.1    | 40  | 55    | 0.1 | "remove"   | 4.67134      | 15.375  | 369.75          |
| 468  | 0.1    | 40  | 55    | 0.1 | "midpoint" | 5.19874      | 15.508  | 388.5           |
| 469  | 0.1    | 40  | 50    | 0.4 | "K_JJ"     | 4.73687      | 0.42896 | 22.203          |
| 470  | 0.1    | 40  | 50    | 0.4 | "K_KC"     | 4.52761      | 0.39355 | 22.703          |
| 471  | 0.1    | 40  | 50    | 0.4 | "K_xi"     | 5.04285      | 0.36914 | 22.188          |
| 472  | 0.1    | 40  | 50    | 0.4 | "fill"     | 7.05852      | 0.39551 | 23.547          |
| 473  | 0.1    | 40  | 50    | 0.4 | "remove"   | 2.97922      | 0.38403 | 23.734          |
| 474  | 0.1    | 40  | 50    | 0.4 | "midpoint" | 4.95165      | 0.39526 | 21.375          |
| 475  | 0.1    | 40  | 50    | 0.1 | "fill"     | 5.41234      | 14.461  | 359.0           |
| 476  | 0.1    | 40  | 50    | 0.1 | "remove"   | 4.40161      | 15.602  | 368.0           |
| 477  | 0.1    | 40  | 50    | 0.1 | "midpoint" | 4.90138      | 15.289  | 365.25          |
| 478  | 0.1    | 40  | 45    | 0.4 | "K_JJ"     | 4.42199      | 0.4248  | 22.5            |
| 479  | 0.1    | 40  | 45    | 0.4 | "K_KC"     | 4.22356      | 0.38403 | 24.359          |
| 480  | 0.1    | 40  | 45    | 0.4 | "K_xi"     | 4.71093      | 0.39185 | 22.516          |
| 481  | 0.1    | 40  | 45    | 0.4 | "fill"     | 6.60507      | 0.39282 | 22.203          |
| 482  | 0.1    | 40  | 45    | 0.4 | "remove"   | 2.7682       | 0.41064 | 21.797          |
| 483  | 0.1    | 40  | 45    | 0.4 | "midpoint" | 4.61027      | 0.40991 | 21.188          |
| 484  | 0.1    | 40  | 45    | 0.1 | "fill"     | 5.03997      | 15.422  | 374.25          |
| 485  | 0.1    | 40  | 45    | 0.1 | "remove"   | 4.10131      | 15.844  | 372.25          |
| 486  | 0.1    | 40  | 45    | 0.1 | "midpoint" | 4.56622      | 15.766  | 372.25          |
| 487  | 0.1    | 40  | 40    | 0.4 | "K_JJ"     | 4.07106      | 0.43188 | 22.5            |
| 488  | 0.1    | 40  | 40    | 0.4 | "K_KC"     | 3.88509      | 0.41528 | 20.938          |
| 489  | 0.1    | 40  | 40    | 0.4 | "K_xi"     | 4.3407       | 0.41333 | 20.484          |
| 490  | 0.1    | 40  | 40    | 0.4 | "fill"     | 6.06048      | 0.42993 | 22.375          |
| 491  | 0.1    | 40  | 40    | 0.4 | "remove"   | 2.56356      | 0.38989 | 23.047          |
| 492  | 0.1    | 40  | 40    | 0.4 | "midpoint" | 4.23872      | 0.71973 | 22.484          |
| 493  | 0.1    | 40  | 40    | 0.1 | "fill"     | 4.631        | 15.742  | 378.0           |
| 494  | 0.1    | 40  | 40    | 0.1 | "remove"   | 3.77153      | 15.781  | 363.5           |
| 495  | 0.1    | 40  | 40    | 0.1 | "midpoint" | 4.19724      | 15.656  | 380.0           |
| 496  | 0.1    | 45  | 90    | 0.4 | "K_JJ"     | 5.57367      | 0.35352 | 22.391          |
| 497  | 0.1    | 45  | 90    | 0.4 | "K_KC"     | 5.33605      | 0.40747 | 24.125          |
| 498  | 0.1    | 45  | 90    | 0.4 | "K_xi"     | 5.93256      | 0.33667 | 22.875          |
| 499  | 0.1    | 45  | 90    | 0.4 | "fill"     | 7.4193       | 0.34692 | 24.156          |
| 500  | 0.1    | 45  | 90    | 0.4 | "remove"   | 3.06065      | 0.33716 | 24.672          |
| 501  | 0.1    | 45  | 90    | 0.4 | "midpoint" | 5.19049      | 0.32666 | 22.484          |
| 502  | 0.1    | 45  | 90    | 0.1 | "fill"     | 6.47207      | 14.367  | 145.5           |
| 503  | 0.1    | 45  | 90    | 0.1 | "remove"   | 5.37634      | 13.703  | 157.75          |
| 504  | 0.1    | 45  | 90    | 0.1 | "midpoint" | 5.92098      | 14.711  | 153.5           |
| 505  | 0.1    | 45  | 85    | 0.4 | "K_JJ"     | 5.55606      | 0.37939 | 23.313          |
| 506  | 0.1    | 45  | 85    | 0.4 | "K_KC"     | 5.31357      | 0.3291  | 25.016          |
| 507  | 0.1    | 45  | 85    | 0.4 | "K_xi"     | 5.90989      | 0.34302 | 21.063          |
| 508  | 0.1    | 45  | 85    | 0.4 | "fill"     | 7.85613      | 0.34229 | 24.516          |
| 509  | 0.1    | 45  | 85    | 0.4 | "remove"   | 3.65317      | 0.34277 | 24.609          |
| 510  | 0.1    | 45  | 85    | 0.4 | "midpoint" | 5.80338      | 0.38965 | 23.953          |
| 511  | 0.1    | 45  | 85    | 0.1 | "fill"     | 6.3003       | 15.008  | 376.75          |
| 512  | 0.1    | 45  | 85    | 0.1 | "remove"   | 5.24075      | 15.172  | 370.75          |
| 513  | 0.1    | 45  | 85    | 0.1 | "midpoint" | 5.7746       | 14.188  | 369.75          |
| 514  | 0.1    | 45  | 80    | 0.4 | "K_JJ"     | 5.49644      | 0.34277 | 23.734          |
| 515  | 0.1    | 45  | 80    | 0.4 | "K_KC"     | 5.25551      | 0.35522 | 23.75           |
| 516  | 0.1    | 45  | 80    | 0.4 | "K_xi"     | 5.84667      | 0.35425 | 24.984          |
| 517  | 0.1    | 45  | 80    | 0.4 | "fill"     | 8.20246      | 0.38257 | 23.844          |
| 518  | 0.1    | 45  | 80    | 0.4 | "remove"   | 3.37676      | 0.34424 | 22.938          |
